meeting_id,meeting_type,date,duration_minutes,num_participants,transcript,transcript_length,num_utterances,avg_sentiment,sentiment_std,agenda_clear,on_time_start,stayed_on_topic,avg_speaking_time,participation_balance,questions_asked,action_items,decisions_made,usefulness_rating,action_completion_rate,effectiveness_score
MTG00024,Standup,2025-10-26,7,4,I'll send out the meeting notes later. Let's move to the next topic. I'm concerned about the timeline here. We should schedule a follow-up meeting. Let's move to the next topic. Let's move to the next topic. I'll send out the meeting notes later. We're going in circles on this topic. I'll send out the meeting notes later. We're going in circles on this topic. I agree with this approach. It makes sense....,405,11,0.419,0.204,1,1,0.623,1.75,0.898,0,2,2,3.9,0.591,71.4
MTG00025,One-on-One,2025-11-03,28,2,Great idea! Let's explore that further. Let's move to the next topic. I'll take the action item to follow up. We have three items on the agenda today. Great idea! Let's explore that further. Let me share my screen to show the data. I'm concerned about the timeline here. Excellent point. I hadn't considered that. Great idea! Let's explore that further. Here are the key metrics from last week. This doesn't align with our objectives. Excellent point. I hadn't considered that. The deadline for this ...,888,22,0.506,0.238,1,0,0.678,14.0,0.881,0,2,0,3.9,0.53,64.3
MTG00026,Retrospective,2025-09-27,65,3,I agree with this approach. It makes sense. I think we've reached a good decision here. Great idea! Let's explore that further. We're going in circles on this topic. Here are the key metrics from last week. I'll send out the meeting notes later. I appreciate everyone's input today. Excellent point. I hadn't considered that. We've discussed this several times already. I think we've reached a good decision here. Excellent point. I hadn't considered that. I agree with this approach. It makes sense....,1206,30,0.584,0.245,1,0,0.821,21.67,0.877,1,3,4,3.8,0.548,71.4
MTG00027,One-on-One,2025-09-29,23,2,This is exactly what we need. Well done. The project timeline is on track. I'm excited about this direction. Let's move forward. I think we've reached a good decision here. I disagree with this direction completely. We're making great progress on this. We're making great progress on this. I'll send out the meeting notes later. Here are the key metrics from last week. I'm excited about this direction. Let's move forward. This solution addresses our concerns perfectly. Excellent point. I hadn't co...,779,18,0.608,0.165,1,0,0.717,11.5,0.917,0,2,3,3.5,0.673,67.9
MTG00028,Status Update,2025-08-13,22,5,We should schedule a follow-up meeting. Let's move to the next topic. The deadline for this is next Friday. We should have resolved this weeks ago. I'll take the action item to follow up. This solution addresses our concerns perfectly. I'm excited about this direction. Let's move forward. This solution addresses our concerns perfectly. Can everyone see the presentation? I think we've reached a good decision here. Can everyone see the presentation? That's a really innovative approach....,488,12,0.551,0.173,1,1,0.573,4.4,0.914,2,6,1,4.3,0.626,79.1
MTG00029,Planning,2025-06-28,42,11,I agree with this approach. It makes sense. I'm concerned about the timeline here. I appreciate everyone's input today. We should schedule a follow-up meeting. I disagree with this direction completely. I'm concerned about the timeline here. We should schedule a follow-up meeting. We should have resolved this weeks ago. We should schedule a follow-up meeting. Let me share my screen to show the data. We have three items on the agenda today. I'm excited about this direction. Let's move forward. I'...,865,22,0.437,0.231,1,1,0.522,3.82,0.885,1,6,4,3.8,0.546,75.1
MTG00030,Status Update,2025-06-20,11,6,I don't think we have enough information to decide. We should have resolved this weeks ago. Can everyone see the presentation? I'm excited about this direction. Let's move forward. I'm excited about this direction. Let's move forward. I'll take the action item to follow up. I agree with this approach. It makes sense. I'll take the action item to follow up. I don't think we have enough information to decide. We have three items on the agenda today. The project timeline is on track. This doesn't a...,564,13,0.501,0.24,0,1,0.788,1.83,0.88,3,5,0,3.7,0.561,62.9
MTG00031,Review,2025-07-07,25,5,Here are the key metrics from last week. The project timeline is on track. Here are the key metrics from last week. Can everyone see the presentation? We have three items on the agenda today. I'll take the action item to follow up. I'm excited about this direction. Let's move forward. I'll take the action item to follow up. This solution addresses our concerns perfectly. This is exactly what we need. Well done. Can everyone see the presentation? I'm not sure this is the right approach. I disagre...,687,17,0.556,0.207,1,0,0.56,5.0,0.896,1,4,1,3.8,0.582,66.6
MTG00032,All-Hands,2025-08-25,89,58,We should schedule a follow-up meeting. We've discussed this several times already. Let me share my screen to show the data. I think we've reached a good decision here. Can everyone see the presentation? We're making great progress on this. We should schedule a follow-up meeting. We should schedule a follow-up meeting. Let's move to the next topic. This is exactly what we need. Well done. I'm not sure this is the right approach. I'm excited about this direction. Let's move forward. We're making ...,1449,36,0.557,0.194,1,0,0.663,1.53,0.903,13,6,1,3.9,0.71,71.3
MTG00033,One-on-One,2025-08-23,17,2,This seems like a waste of time honestly. Can everyone see the presentation? Here are the key metrics from last week. Here are the key metrics from last week. Let me share my screen to show the data. Here are the key metrics from last week. We have three items on the agenda today. I'll take the action item to follow up. I'm concerned about the timeline here. Can everyone see the presentation? We've discussed this several times already. This doesn't align with our objectives. I'm concerned about ...,755,19,0.524,0.192,1,0,0.451,8.5,0.904,1,3,1,3.4,0.569,61.3
MTG00034,One-on-One,2025-05-15,15,2,We should have resolved this weeks ago. I'm excited about this direction. Let's move forward. Great idea! Let's explore that further. Excellent point. I hadn't considered that. We're going in circles on this topic. I'm excited about this direction. Let's move forward. We should schedule a follow-up meeting. We've discussed this several times already. I'll take the action item to follow up. Can everyone see the presentation? This meeting could have been an email. I'm concerned about the timeline ...,789,19,0.487,0.252,0,0,0.764,7.5,0.874,1,3,4,3.3,0.414,47.9
MTG00035,Retrospective,2025-10-23,68,7,I'm excited about this direction. Let's move forward. Here are the key metrics from last week. Here are the key metrics from last week. Can everyone see the presentation? We should schedule a follow-up meeting. I agree with this approach. It makes sense. We're making great progress on this. I'm excited about this direction. Let's move forward. I appreciate everyone's input today. I'm excited about this direction. Let's move forward. The project timeline is on track. That's a really innovative ap...,1250,29,0.622,0.199,1,1,0.769,9.71,0.9,0,1,4,3.8,0.668,77.2
MTG00036,Planning,2025-09-24,107,4,I disagree with this direction completely. We're making great progress on this. We're going in circles on this topic. This doesn't align with our objectives. This meeting could have been an email. I appreciate everyone's input today. We're making great progress on this. We have three items on the agenda today. We should schedule a follow-up meeting. Let's move to the next topic. I appreciate everyone's input today. This solution addresses our concerns perfectly. I don't think we have enough info...,1850,47,0.509,0.218,1,0,0.665,26.75,0.891,0,0,4,3.2,,60.2
MTG00037,One-on-One,2025-05-13,39,2,We've discussed this several times already. Let me share my screen to show the data. This meeting could have been an email. Excellent point. I hadn't considered that. The deadline for this is next Friday. We're going in circles on this topic. That's a really innovative approach. I'm not sure this is the right approach. That's a really innovative approach. This seems like a waste of time honestly. We have three items on the agenda today. I'm concerned about the timeline here. We have three items ...,1005,25,0.481,0.22,1,1,0.66,19.5,0.89,0,6,3,4.7,0.586,79.5
MTG00038,All-Hands,2025-10-01,43,32,I'm concerned about the timeline here. I think we've reached a good decision here. That's a really innovative approach. The deadline for this is next Friday. We have three items on the agenda today. Can everyone see the presentation? This seems like a waste of time honestly. This solution addresses our concerns perfectly. I disagree with this direction completely. We're going in circles on this topic. I'm not sure this is the right approach. Can everyone see the presentation? Can everyone see th...,1006,25,0.465,0.211,1,0,0.461,1.34,0.895,12,6,2,3.5,0.496,64.3
MTG00039,One-on-One,2025-08-17,25,2,I'll take the action item to follow up. I think we've reached a good decision here. I appreciate everyone's input today. I'm concerned about the timeline here. I appreciate everyone's input today. I'm not sure this is the right approach. This solution addresses our concerns perfectly. We should schedule a follow-up meeting. This seems like a waste of time honestly. I'll send out the meeting notes later. The deadline for this is next Friday. We should have resolved this weeks ago. Let me share my...,649,16,0.466,0.199,1,1,0.502,12.5,0.9,1,1,3,3.7,0.561,67.4
MTG00040,Decision-Making,2025-10-13,51,4,I agree with this approach. It makes sense. I disagree with this direction completely. We should have resolved this weeks ago. I'm not sure this is the right approach. The deadline for this is next Friday. I'll send out the meeting notes later. The deadline for this is next Friday. We have three items on the agenda today. We should schedule a follow-up meeting. I'm excited about this direction. Let's move forward. I don't think we have enough information to decide. Here are the key metrics from ...,1187,29,0.425,0.239,1,0,0.675,12.75,0.881,1,1,1,4.0,0.577,60.6
MTG00041,Retrospective,2025-07-17,28,3,Can everyone see the presentation? Great idea! Let's explore that further. Let me share my screen to show the data. Let's move to the next topic. Great idea! Let's explore that further. Can everyone see the presentation? I don't think we have enough information to decide. Let's move to the next topic. I'll send out the meeting notes later. The deadline for this is next Friday. I'll take the action item to follow up. I disagree with this direction completely. This seems like a waste of time hones...,624,16,0.443,0.212,1,1,0.536,9.33,0.894,2,3,0,3.7,0.703,71.7
MTG00042,Standup,2025-10-18,34,7,This seems like a waste of time honestly. This meeting could have been an email. I'll take the action item to follow up. We should schedule a follow-up meeting. This meeting could have been an email. This is exactly what we need. Well done. I'll take the action item to follow up. We should schedule a follow-up meeting. We're going in circles on this topic. We should schedule a follow-up meeting. We're going in circles on this topic. Let me share my screen to show the data. We should have resolve...,972,25,0.453,0.21,0,1,0.496,4.86,0.895,3,3,1,3.1,0.433,50.9
MTG00043,Review,2025-08-01,80,5,We have three items on the agenda today. I'll take the action item to follow up. This seems like a waste of time honestly. This meeting could have been an email. Let's move to the next topic. I think we've reached a good decision here. I'm excited about this direction. Let's move forward. Can everyone see the presentation? Let me share my screen to show the data. I'll send out the meeting notes later. Can everyone see the presentation? I'm not sure this is the right approach. Here are the key me...,1503,38,0.505,0.202,0,1,0.802,16.0,0.899,1,4,3,3.2,0.509,61.6
MTG00044,Review,2025-10-05,78,3,I don't think we have enough information to decide. The project timeline is on track. That's a really innovative approach. We're going in circles on this topic. This is exactly what we need. Well done. I'm excited about this direction. Let's move forward. We should have resolved this weeks ago. Can everyone see the presentation? Let's move to the next topic. I agree with this approach. It makes sense. We should have resolved this weeks ago. We have three items on the agenda today. This is exactl...,1635,39,0.486,0.211,1,0,0.688,26.0,0.895,0,1,1,3.4,0.44,62.3
MTG00045,One-on-One,2025-05-12,9,2,This seems like a waste of time honestly. We've discussed this several times already. This is exactly what we need. Well done. Let me share my screen to show the data. Let me share my screen to show the data. Can everyone see the presentation? We're making great progress on this. We've discussed this several times already. I agree with this approach. It makes sense. I'll take the action item to follow up. That's a really innovative approach. This is exactly what we need. Well done....,486,12,0.52,0.188,1,0,0.637,4.5,0.906,0,1,1,3.2,0.509,61.9
MTG00046,Status Update,2025-07-14,16,18,The project timeline is on track. I'll send out the meeting notes later. I think we've reached a good decision here. This is exactly what we need. Well done. I'll send out the meeting notes later. We have three items on the agenda today. We should schedule a follow-up meeting. Here are the key metrics from last week. This seems like a waste of time honestly. We're going in circles on this topic. I'm not sure this is the right approach. I don't think we have enough information to decide. I'll tak...,608,15,0.423,0.218,1,1,0.398,0.89,0.891,2,3,0,4.3,0.52,67.8
MTG00047,Review,2025-08-07,32,6,Let's move to the next topic. That's a really innovative approach. Let's move to the next topic. I'm not sure this is the right approach. I'll send out the meeting notes later. Can everyone see the presentation? I'll take the action item to follow up. We have three items on the agenda today. We're making great progress on this. I agree with this approach. It makes sense. I'll take the action item to follow up. This meeting could have been an email. I'm not sure this is the right approach. Let me...,626,16,0.49,0.16,1,1,0.807,5.33,0.92,2,2,3,4.6,0.636,77.8
MTG00048,Standup,2025-06-16,4,3,I agree with this approach. It makes sense. The project timeline is on track. Excellent point. I hadn't considered that. This meeting could have been an email. I'll take the action item to follow up. Excellent point. I hadn't considered that. This solution addresses our concerns perfectly. The deadline for this is next Friday. Here are the key metrics from last week....,369,9,0.482,0.159,1,1,0.763,1.33,0.92,1,3,2,4.2,0.59,78.5
MTG00049,Planning,2025-08-29,51,4,The deadline for this is next Friday. The project timeline is on track. We're going in circles on this topic. This is exactly what we need. Well done. We have three items on the agenda today. Let me share my screen to show the data. The deadline for this is next Friday. I'm not sure this is the right approach. Let's move to the next topic. I'm concerned about the timeline here. Here are the key metrics from last week. This solution addresses our concerns perfectly. Great idea! Let's explore that...,932,24,0.53,0.221,1,0,0.927,12.75,0.89,0,1,2,4.1,0.679,69.1
MTG00050,All-Hands,2025-06-09,95,20,We should schedule a follow-up meeting. That's a really innovative approach. I'm concerned about the timeline here. This meeting could have been an email. Great idea! Let's explore that further. I disagree with this direction completely. We're going in circles on this topic. We should schedule a follow-up meeting. Let me share my screen to show the data. I'm not sure this is the right approach. We're making great progress on this. I appreciate everyone's input today. I'll send out the meeting no...,1507,37,0.493,0.194,1,0,0.542,4.75,0.903,7,4,1,3.8,0.534,65.0
MTG00051,Retrospective,2025-05-24,29,3,The project timeline is on track. Excellent point. I hadn't considered that. I'll send out the meeting notes later. We should schedule a follow-up meeting. I'm concerned about the timeline here. This seems like a waste of time honestly. This solution addresses our concerns perfectly. We're making great progress on this. I appreciate everyone's input today. I appreciate everyone's input today. We have three items on the agenda today. I don't think we have enough information to decide. I'll send o...,993,24,0.575,0.196,1,1,0.742,9.67,0.902,1,2,3,4.4,0.658,77.6
MTG00052,Decision-Making,2025-10-05,49,4,Great idea! Let's explore that further. This meeting could have been an email. The project timeline is on track. The project timeline is on track. Let's move to the next topic. We have three items on the agenda today. I appreciate everyone's input today. I don't think we have enough information to decide. I appreciate everyone's input today. Let me share my screen to show the data. Can everyone see the presentation? This meeting could have been an email. Can everyone see the presentation? This s...,1163,29,0.542,0.234,0,1,0.455,12.25,0.883,2,4,4,3.0,0.415,53.5
MTG00053,Status Update,2025-06-17,32,13,I think we've reached a good decision here. That's a really innovative approach. Great idea! Let's explore that further. This meeting could have been an email. I'm excited about this direction. Let's move forward. Let me share my screen to show the data. The deadline for this is next Friday. Can everyone see the presentation? I'm excited about this direction. Let's move forward. This solution addresses our concerns perfectly. I don't think we have enough information to decide. I'm not sure this ...,997,24,0.495,0.212,1,0,0.801,2.46,0.894,5,0,2,3.9,,63.3
MTG00054,One-on-One,2025-08-12,23,2,I don't think we have enough information to decide. Can everyone see the presentation? Let's move to the next topic. Here are the key metrics from last week. I think we've reached a good decision here. We've discussed this several times already. Let me share my screen to show the data. The deadline for this is next Friday. This doesn't align with our objectives. Here are the key metrics from last week. Let me share my screen to show the data. We have three items on the agenda today. Can everyone...,562,14,0.371,0.16,0,0,0.757,11.5,0.92,1,6,0,3.3,0.434,50.1
MTG00055,Status Update,2025-07-06,18,5,We should schedule a follow-up meeting. I appreciate everyone's input today. Can everyone see the presentation? I'll take the action item to follow up. I disagree with this direction completely. I agree with this approach. It makes sense. This solution addresses our concerns perfectly. I'll send out the meeting notes later. We have three items on the agenda today. I'm excited about this direction. Let's move forward. Here are the key metrics from last week. We should schedule a follow-up meeting...,833,20,0.516,0.195,0,1,0.903,3.6,0.903,1,4,3,3.7,0.543,64.4
MTG00056,Review,2025-08-22,27,4,This doesn't align with our objectives. I'm excited about this direction. Let's move forward. Can everyone see the presentation? Let's move to the next topic. I agree with this approach. It makes sense. I'm not sure this is the right approach. We should have resolved this weeks ago. I'll send out the meeting notes later. This is exactly what we need. Well done. This doesn't align with our objectives. I appreciate everyone's input today. The project timeline is on track. Excellent point. I hadn't...,677,17,0.473,0.21,0,1,0.62,6.75,0.895,1,4,2,4.0,0.539,56.4
MTG00057,Status Update,2025-10-28,32,5,Great idea! Let's explore that further. We're making great progress on this. We've discussed this several times already. This solution addresses our concerns perfectly. Here are the key metrics from last week. I appreciate everyone's input today. Here are the key metrics from last week. I appreciate everyone's input today. I appreciate everyone's input today. I'm excited about this direction. Let's move forward. I agree with this approach. It makes sense. I appreciate everyone's input today. Gre...,867,21,0.573,0.181,1,1,0.883,6.4,0.909,1,5,3,4.6,0.63,87.2
MTG00058,Review,2025-07-19,9,3,This seems like a waste of time honestly. I disagree with this direction completely. We have three items on the agenda today. I appreciate everyone's input today. We're going in circles on this topic. Let's move to the next topic. I'll take the action item to follow up. Let's move to the next topic. This doesn't align with our objectives. We have three items on the agenda today. The project timeline is on track. We've discussed this several times already. The project timeline is on track. The pr...,627,17,0.405,0.18,0,1,0.669,3.0,0.91,0,0,3,3.2,,48.5
MTG00059,Standup,2025-09-08,6,5,This is exactly what we need. Well done. I'm excited about this direction. Let's move forward. I'm concerned about the timeline here. The deadline for this is next Friday. Here are the key metrics from last week. This doesn't align with our objectives. We have three items on the agenda today. The deadline for this is next Friday....,331,8,0.494,0.13,0,1,0.712,1.2,0.935,2,1,1,3.1,0.514,53.7
MTG00060,One-on-One,2025-07-12,9,2,Here are the key metrics from last week. We're making great progress on this. I think we've reached a good decision here. I think we've reached a good decision here. This solution addresses our concerns perfectly. I don't think we have enough information to decide. This is exactly what we need. Well done. We should schedule a follow-up meeting. We've discussed this several times already. We should schedule a follow-up meeting. We're making great progress on this. We're going in circles on this t...,717,17,0.481,0.243,1,0,0.619,4.5,0.879,2,7,0,3.6,0.557,68.3
MTG00061,Retrospective,2025-08-20,50,3,We should schedule a follow-up meeting. Let me share my screen to show the data. I'm not sure this is the right approach. I don't think we have enough information to decide. We're going in circles on this topic. We have three items on the agenda today. We have three items on the agenda today. Here are the key metrics from last week. This meeting could have been an email. The project timeline is on track. I'll send out the meeting notes later. We should have resolved this weeks ago. This meeting ...,1157,28,0.385,0.226,1,1,0.27,16.67,0.887,1,3,1,3.1,0.594,63.8
MTG00062,All-Hands,2025-05-26,33,30,Let me share my screen to show the data. I'm concerned about the timeline here. We should have resolved this weeks ago. We should have resolved this weeks ago. The project timeline is on track. The project timeline is on track. This meeting could have been an email. This is exactly what we need. Well done. Let's move to the next topic. This solution addresses our concerns perfectly. I'm excited about this direction. Let's move forward. I'll send out the meeting notes later. This seems like a was...,742,18,0.506,0.228,0,1,0.618,1.1,0.886,10,4,2,3.3,0.419,56.9
