sample_id,text,bias_type,bias_description,source_type,department,word_count,char_count,confidence_score,is_biased,timestamp
SAMPLE00022,We've committed $227k and 24 months to this approach. Changing course now would mean admitting it was wrong.,sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Report,Product,18,108,0.721,1,2025-03-16 16:31:17
SAMPLE00023,Recent performance indicates continued growth. Past data from years ago isn't as relevant anymore.,recency_bias,Giving more weight to recent events than historical data,Report,Sales,14,98,0.308,1,2025-03-04 16:31:17
SAMPLE00024,"Everyone's talking about employee performance lately, so it must be a major issue that needs immediate attention.",availability_bias,Overestimating likelihood of events based on their mental availability,Decision Memo,Product,17,113,0.658,1,2025-04-05 16:31:17
SAMPLE00025,"After hearing about a data breach, I'm convinced financial loss is very likely. The news is full of similar stories.",availability_bias,Overestimating likelihood of events based on their mental availability,Chat Message,Strategy,20,116,0.938,1,2025-05-31 16:31:17
SAMPLE00026,Look at the recent analysis - it clearly shows strong trend. Anyone who disagrees is just ignoring the facts.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Email,Marketing,19,109,0.397,1,2024-11-27 16:31:17
SAMPLE00027,I'm focusing on this month's data because that's what's happening now. Older data is outdated.,recency_bias,Giving more weight to recent events than historical data,Survey Response,HR,15,94,0.75,1,2025-06-27 16:31:17
SAMPLE00028,"My first impression was $154k, and I can't shake that feeling even after learning updated market data.",anchoring_bias,Over-reliance on the first piece of information encountered,Decision Memo,HR,17,102,0.728,1,2025-10-01 16:31:17
SAMPLE00029,"I just read about a data breach, so I'm very concerned about security threats. It seems to be happening everywhere.",availability_bias,Overestimating likelihood of events based on their mental availability,Report,HR,20,115,0.668,1,2025-06-15 16:31:17
SAMPLE00030,"Based on what happened {timeframe}, I predict {outcome}. Long-term trends don't matter as much.",recency_bias,Giving more weight to recent events than historical data,Email,Marketing,14,95,0.732,1,2025-01-28 16:31:17
SAMPLE00031,"Looking back, the launch was inevitable. I'm surprised others didn't see it coming.",hindsight_bias,Believing past events were more predictable than they actually were,Report,Product,13,83,0.791,1,2025-02-22 16:31:17
SAMPLE00032,"The original forecast said 300 units, so anything close to that seems acceptable to me.",anchoring_bias,Over-reliance on the first piece of information encountered,Meeting Note,Strategy,15,87,0.392,1,2025-11-06 16:31:17
SAMPLE00033,"I just read about a market crash, so I'm very concerned about market volatility. It seems to be happening everywhere.",availability_bias,Overestimating likelihood of events based on their mental availability,Email,Marketing,20,117,0.612,1,2024-11-19 16:31:17
SAMPLE00034,"We've already invested $252k in this project, so we need to continue even though metrics are declining.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Meeting Note,HR,17,103,0.509,1,2025-10-18 16:31:17
SAMPLE00035,Recent performance indicates sustained improvement. Past data from years ago isn't as relevant anymore.,recency_bias,Giving more weight to recent events than historical data,Report,Operations,14,103,0.371,1,2025-04-10 16:31:17
SAMPLE00036,"The last quarter showed decline, so I expect that pattern to continue despite historical trends.",recency_bias,Giving more weight to recent events than historical data,Decision Memo,Strategy,15,96,0.708,1,2025-03-12 16:31:17
SAMPLE00037,"When I first heard the price was 163 units, that stuck with me. Now $190k seems like a good deal.",anchoring_bias,Over-reliance on the first piece of information encountered,Email,Finance,20,97,0.632,1,2025-04-17 16:31:17
SAMPLE00038,"Looking back, the acquisition was inevitable. I'm surprised others didn't see it coming.",hindsight_bias,Believing past events were more predictable than they actually were,Chat Message,Sales,13,88,0.809,1,2024-11-25 16:31:17
SAMPLE00039,"Most people believe customers prefer simplicity, so there's probably something to it. I'll go along with the majority.",bandwagon_effect,Adopting beliefs because many others hold them,Survey Response,Product,18,118,0.845,1,2025-10-19 16:31:17
SAMPLE00040,The latest engagement numbers are most important. Historical averages don't reflect current reality.,recency_bias,Giving more weight to recent events than historical data,Survey Response,Finance,13,100,0.548,1,2025-06-30 16:31:17
SAMPLE00041,"When I first heard the price was $72k, that stuck with me. Now $57k seems like a good deal.",anchoring_bias,Over-reliance on the first piece of information encountered,Meeting Note,Sales,19,91,0.832,1,2025-10-03 16:31:17
SAMPLE00042,We've committed $419k and 32 months to this approach. Changing course now would mean admitting it was wrong.,sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Meeting Note,Sales,18,108,0.334,1,2024-11-16 16:31:17
SAMPLE00043,"When I first heard the price was $201k, that stuck with me. Now $176k seems like a good deal.",anchoring_bias,Over-reliance on the first piece of information encountered,Survey Response,Product,19,93,0.761,1,2025-04-14 16:31:17
SAMPLE00044,"The analysis presents concerning patterns. However, we should seek diverse perspectives before concluding.",neutral,Balanced reasoning without evident cognitive bias,Decision Memo,Finance,13,106,0.258,0,2025-02-19 16:31:17
SAMPLE00045,"Since a supply chain disruption happened recently, I think the probability of business disruption is much higher than statistics show.",availability_bias,Overestimating likelihood of events based on their mental availability,Chat Message,Product,20,134,0.566,1,2025-07-15 16:31:17
SAMPLE00046,"I just read about a supply chain disruption, so I'm very concerned about market volatility. It seems to be happening everywhere.",availability_bias,Overestimating likelihood of events based on their mental availability,Decision Memo,Sales,21,128,0.908,1,2024-12-20 16:31:17
SAMPLE00047,It was clear that customers left was coming. Anyone could have predicted it based on competitive moves.,hindsight_bias,Believing past events were more predictable than they actually were,Report,Strategy,17,103,0.863,1,2025-09-14 16:31:17
SAMPLE00048,"We've already invested $897k in this project, so we need to continue even though competitors have moved ahead.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Decision Memo,Operations,18,110,0.687,1,2025-03-15 16:31:17
SAMPLE00049,"I saw a success story on social media today, which makes me think we need to pivot quickly. It's clearly a widespread problem.",availability_bias,Overestimating likelihood of events based on their mental availability,Decision Memo,Product,23,126,0.873,1,2025-07-04 16:31:17
SAMPLE00050,"While initial findings suggests a significant effect, there are several confounding factors to examine further.",neutral,Balanced reasoning without evident cognitive bias,Meeting Note,HR,15,111,0.348,0,2025-05-28 16:31:17
SAMPLE00051,"Since a data breach happened recently, I think the probability of financial loss is much higher than statistics show.",availability_bias,Overestimating likelihood of events based on their mental availability,Email,Sales,19,117,0.767,1,2025-04-13 16:31:17
SAMPLE00052,"Given how much major effort we've already used, we should keep going even if trying something different makes more sense.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Chat Message,Strategy,20,121,0.529,1,2025-01-17 16:31:17
SAMPLE00053,This research validates what I already knew: data-driven decisions work best. Other studies are probably flawed.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Chat Message,Finance,16,112,0.723,1,2025-03-03 16:31:17
SAMPLE00054,"The trend is clearly toward platform business models. I don't want to be left behind, so I'm on board.",bandwagon_effect,Adopting beliefs because many others hold them,Meeting Note,Sales,19,102,0.817,1,2025-08-15 16:31:17
SAMPLE00055,"We've already invested $960k in this project, so we need to continue even though results are disappointing.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Chat Message,Sales,17,107,0.556,1,2025-08-30 16:31:17
SAMPLE00056,We've committed $125k and 28 months to this approach. Changing course now would mean admitting it was wrong.,sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Meeting Note,HR,18,108,0.876,1,2025-04-27 16:31:17
SAMPLE00057,I knew improve would happen because the latest data. This just proves what I've always believed about market trends.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Meeting Note,Finance,19,116,0.888,1,2024-12-10 16:31:17
SAMPLE00058,"When I first heard the price was $85k, that stuck with me. Now $90k seems like a good deal.",anchoring_bias,Over-reliance on the first piece of information encountered,Email,Operations,19,91,0.643,1,2025-07-08 16:31:17
SAMPLE00059,"My first impression was 114 units, and I can't shake that feeling even after learning revised estimates.",anchoring_bias,Over-reliance on the first piece of information encountered,Meeting Note,Operations,17,104,0.718,1,2025-01-01 16:31:17
SAMPLE00060,"After hearing about a market crash, I'm convinced financial loss is very likely. The news is full of similar stories.",availability_bias,Overestimating likelihood of events based on their mental availability,Chat Message,Sales,20,117,0.703,1,2025-04-18 16:31:17
SAMPLE00061,This research validates what I already knew: customers prefer simplicity. Other studies are probably flawed.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Email,Strategy,15,108,0.705,1,2025-05-14 16:31:17
SAMPLE00062,We've committed $135k and 44 months to this approach. Changing course now would mean admitting it was wrong.,sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Email,Sales,18,108,0.88,1,2025-05-06 16:31:17
SAMPLE00063,Of course sales increased happened - all the indicators pointed to it. It was completely predictable.,hindsight_bias,Believing past events were more predictable than they actually were,Chat Message,Product,16,101,0.62,1,2024-12-27 16:31:17
SAMPLE00064,"I've spent 35 months on this, so I can't quit now. That would mean all that effort was wasted.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Email,Product,19,94,0.843,1,2025-03-22 16:31:17
SAMPLE00065,I knew the product success would happen all along. The signs were obvious in retrospect.,hindsight_bias,Believing past events were more predictable than they actually were,Decision Memo,HR,15,88,0.684,1,2025-08-06 16:31:17
SAMPLE00066,"I just read about a viral campaign, so I'm very concerned about reputational damage. It seems to be happening everywhere.",availability_bias,Overestimating likelihood of events based on their mental availability,Survey Response,Finance,20,121,0.96,1,2025-09-25 16:31:17
SAMPLE00067,"The data shows a trend, though we should consider counterarguments. More analysis is needed to draw conclusions.",neutral,Balanced reasoning without evident cognitive bias,Email,Product,17,112,0.27,0,2025-07-17 16:31:17
SAMPLE00068,The data supports my view that obvious trend. I'm not interested in arguments against it.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Survey Response,HR,15,89,0.537,1,2025-04-04 16:31:17
SAMPLE00069,"Looking back, the expansion was inevitable. I'm surprised others didn't see it coming.",hindsight_bias,Believing past events were more predictable than they actually were,Meeting Note,Finance,13,86,0.684,1,2025-09-07 16:31:17
SAMPLE00070,"When I first heard the price was 419 units, that stuck with me. Now $355k seems like a good deal.",anchoring_bias,Over-reliance on the first piece of information encountered,Report,Finance,20,97,0.715,1,2025-03-05 16:31:17
SAMPLE00071,"Since a regulatory change happened recently, I think the probability of business disruption is much higher than statistics show.",availability_bias,Overestimating likelihood of events based on their mental availability,Meeting Note,Strategy,19,128,0.479,1,2024-11-10 16:31:17
SAMPLE00072,"I saw a success story on social media today, which makes me think we need to change strategy. It's clearly a widespread problem.",availability_bias,Overestimating likelihood of events based on their mental availability,Email,Strategy,23,128,0.694,1,2025-01-18 16:31:17
SAMPLE00073,We've committed $325k and 33 months to this approach. Changing course now would mean admitting it was wrong.,sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Email,Marketing,18,108,0.53,1,2025-04-16 16:31:17
SAMPLE00074,I knew decline would happen because the recent study. This just proves what I've always believed about employee performance.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Report,Marketing,19,124,0.782,1,2025-01-26 16:31:17
SAMPLE00075,I always suspected the reorganization would occur. It seems so obvious now that it happened.,hindsight_bias,Believing past events were more predictable than they actually were,Meeting Note,Sales,15,92,0.605,1,2025-06-04 16:31:17
SAMPLE00076,"Most people believe experience beats credentials, so there's probably something to it. I'll go along with the majority.",bandwagon_effect,Adopting beliefs because many others hold them,Chat Message,Finance,18,119,0.701,1,2025-06-25 16:31:17
SAMPLE00077,Look at the recent report - it clearly shows strong trend. Anyone who disagrees is just ignoring the facts.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Email,Sales,19,107,0.22,1,2025-03-22 16:31:17
SAMPLE00078,"I've always said customers prefer simplicity, and the new analysis confirms it. I don't need to look at contradictory data.",confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Chat Message,Engineering,20,123,0.844,1,2025-10-02 16:31:17
SAMPLE00079,Look at the recent data - it clearly shows clear correlation. Anyone who disagrees is just ignoring the facts.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Chat Message,Operations,19,110,0.661,1,2025-06-24 16:31:17
SAMPLE00080,"I've always said experience beats credentials, and the recent study confirms it. I don't need to look at contradictory data.",confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Decision Memo,Marketing,20,124,0.836,1,2025-03-13 16:31:17
SAMPLE00081,"The analysis presents mixed signals. However, we should seek diverse perspectives before concluding.",neutral,Balanced reasoning without evident cognitive bias,Chat Message,HR,13,100,0.146,0,2025-01-02 16:31:17
SAMPLE00082,"Given how much significant resources we've already used, we should keep going even if pivoting strategy makes more sense.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Email,Operations,19,121,0.822,1,2025-03-12 16:31:17
SAMPLE00083,The data supports my view that strong trend. I'm not interested in arguments against it.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Email,Engineering,15,88,0.676,1,2025-05-13 16:31:17
SAMPLE00084,It was clear that the strategy worked was coming. Anyone could have predicted it based on early indicators.,hindsight_bias,Believing past events were more predictable than they actually were,Meeting Note,Sales,18,107,0.565,1,2024-11-17 16:31:17
SAMPLE00085,"The initial estimate was 303 units, so I think $356k is reasonable even though new data suggests $517k.",anchoring_bias,Over-reliance on the first piece of information encountered,Decision Memo,Marketing,18,103,0.63,1,2025-05-30 16:31:17
SAMPLE00086,"The data shows a pattern, though we should consider opposing views. More analysis is needed to draw conclusions.",neutral,Balanced reasoning without evident cognitive bias,Report,HR,18,112,0.423,0,2024-12-24 16:31:17
SAMPLE00087,"The analysis presents promising indicators. However, we should seek diverse perspectives before concluding.",neutral,Balanced reasoning without evident cognitive bias,Chat Message,Engineering,13,107,0.663,0,2025-09-06 16:31:17
SAMPLE00088,Of course sales increased happened - all the indicators pointed to it. It was completely predictable.,hindsight_bias,Believing past events were more predictable than they actually were,Email,Sales,16,101,0.781,1,2025-09-21 16:31:17
SAMPLE00089,Current findings show interesting patterns. We should review contradictory evidence and consider multiple interpretations.,neutral,Balanced reasoning without evident cognitive bias,Chat Message,Product,14,122,0.249,0,2025-04-09 16:31:17
SAMPLE00090,"The original forecast said 477 units, so anything close to that seems acceptable to me.",anchoring_bias,Over-reliance on the first piece of information encountered,Report,Operations,15,87,0.569,1,2025-10-03 16:31:17
SAMPLE00091,Current findings show interesting patterns. We should review contradictory evidence and consider multiple interpretations.,neutral,Balanced reasoning without evident cognitive bias,Survey Response,Engineering,14,122,0.061,0,2025-08-23 16:31:17
SAMPLE00092,"The original forecast said $278k, so anything close to that seems acceptable to me.",anchoring_bias,Over-reliance on the first piece of information encountered,Decision Memo,HR,14,83,0.307,1,2025-08-03 16:31:17
SAMPLE00093,The data supports my view that clear correlation. I'm not interested in arguments against it.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Chat Message,Sales,15,93,0.772,1,2025-04-24 16:31:17
SAMPLE00094,"When I first heard the price was $389k, that stuck with me. Now $412k seems like a good deal.",anchoring_bias,Over-reliance on the first piece of information encountered,Survey Response,HR,19,93,0.312,1,2025-09-17 16:31:17
SAMPLE00095,"The last few months showed growth, so I expect that pattern to continue despite historical benchmarks.",recency_bias,Giving more weight to recent events than historical data,Decision Memo,Product,16,102,0.598,1,2025-05-18 16:31:17
SAMPLE00096,I'm focusing on Q4 results because that's what's happening now. Older data is outdated.,recency_bias,Giving more weight to recent events than historical data,Email,Finance,14,87,0.73,1,2024-12-19 16:31:17
SAMPLE00097,Recent performance indicates continued growth. Past data from years ago isn't as relevant anymore.,recency_bias,Giving more weight to recent events than historical data,Chat Message,Product,14,98,0.899,1,2025-10-24 16:31:17
SAMPLE00098,"Looking back, the acquisition was inevitable. I'm surprised others didn't see it coming.",hindsight_bias,Believing past events were more predictable than they actually were,Meeting Note,Sales,13,88,0.735,1,2025-08-25 16:31:17
SAMPLE00099,"Most people believe experience beats credentials, so there's probably something to it. I'll go along with the majority.",bandwagon_effect,Adopting beliefs because many others hold them,Email,Sales,18,119,0.63,1,2024-12-25 16:31:17
SAMPLE00100,"Based on what happened {timeframe}, I predict {outcome}. Long-term trends don't matter as much.",recency_bias,Giving more weight to recent events than historical data,Chat Message,Strategy,14,95,0.742,1,2025-03-14 16:31:17
SAMPLE00101,I based my decision on the initial figure of $197k. Later adjustments don't change my view much.,anchoring_bias,Over-reliance on the first piece of information encountered,Meeting Note,Sales,17,96,0.967,1,2024-11-19 16:31:17
SAMPLE00102,Recent performance indicates persistent issues. Past data from years ago isn't as relevant anymore.,recency_bias,Giving more weight to recent events than historical data,Decision Memo,HR,14,99,0.657,1,2025-01-17 16:31:17
SAMPLE00103,"Looking back, the acquisition was inevitable. I'm surprised others didn't see it coming.",hindsight_bias,Believing past events were more predictable than they actually were,Email,Strategy,13,88,0.746,1,2025-01-01 16:31:17
SAMPLE00104,"I've spent 21 months on this, so I can't quit now. That would mean all that effort was wasted.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Survey Response,Product,19,94,0.975,1,2024-11-25 16:31:17
SAMPLE00105,"The initial estimate was $436k, so I think $463k is reasonable even though new data suggests $749k.",anchoring_bias,Over-reliance on the first piece of information encountered,Chat Message,Strategy,17,99,0.88,1,2025-06-02 16:31:17
SAMPLE00106,The latest sales data are most important. Historical averages don't reflect current reality.,recency_bias,Giving more weight to recent events than historical data,Report,Finance,13,92,0.894,1,2025-09-01 16:31:17
SAMPLE00107,"I've always said customers prefer simplicity, and the latest data confirms it. I don't need to look at contradictory data.",confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Email,Engineering,20,122,0.877,1,2025-09-30 16:31:17
SAMPLE00108,"I've always said innovation drives success, and the recent analysis confirms it. I don't need to look at contradictory data.",confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Survey Response,Marketing,20,124,0.772,1,2025-03-20 16:31:17
SAMPLE00109,"All the experts are recommending ecosystem partnerships, so I'll follow their lead. They can't all be wrong.",bandwagon_effect,Adopting beliefs because many others hold them,Email,Finance,17,108,0.511,1,2025-03-11 16:31:17
SAMPLE00110,The latest engagement numbers are most important. Historical averages don't reflect current reality.,recency_bias,Giving more weight to recent events than historical data,Email,Operations,13,100,0.836,1,2025-10-15 16:31:17
SAMPLE00111,"Most people believe customers prefer simplicity, so there's probably something to it. I'll go along with the majority.",bandwagon_effect,Adopting beliefs because many others hold them,Survey Response,Operations,18,118,0.799,1,2025-04-23 16:31:17
SAMPLE00112,I always suspected the reorganization would occur. It seems so obvious now that it happened.,hindsight_bias,Believing past events were more predictable than they actually were,Chat Message,Marketing,15,92,0.34,1,2025-03-02 16:31:17
SAMPLE00113,"When I first heard the price was 365 units, that stuck with me. Now $430k seems like a good deal.",anchoring_bias,Over-reliance on the first piece of information encountered,Decision Memo,Engineering,20,97,0.709,1,2025-07-10 16:31:17
SAMPLE00114,Look at the recent data - it clearly shows strong pattern. Anyone who disagrees is just ignoring the facts.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Email,Engineering,19,107,0.955,1,2025-09-22 16:31:17
SAMPLE00115,"After hearing about a supply chain disruption, I'm convinced business disruption is very likely. The news is full of similar stories.",availability_bias,Overestimating likelihood of events based on their mental availability,Report,Marketing,21,133,0.889,1,2025-01-28 16:31:17
SAMPLE00116,I knew fail would happen because the new report. This just proves what I've always believed about investment strategy.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Meeting Note,Operations,19,118,0.407,1,2025-09-02 16:31:17
SAMPLE00117,"I've spent 14 months on this, so I can't quit now. That would mean all that effort was wasted.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Survey Response,HR,19,94,0.494,1,2025-10-30 16:31:17
SAMPLE00118,We've committed $164k and 38 months to this approach. Changing course now would mean admitting it was wrong.,sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Decision Memo,HR,18,108,0.903,1,2025-02-18 16:31:17
SAMPLE00119,Of course customers left happened - all the indicators pointed to it. It was completely predictable.,hindsight_bias,Believing past events were more predictable than they actually were,Meeting Note,Engineering,16,100,0.572,1,2024-12-13 16:31:17
SAMPLE00120,The data supports my view that clear trend. I'm not interested in arguments against it.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Chat Message,Engineering,15,87,0.838,1,2025-10-01 16:31:17
SAMPLE00121,I based my decision on the initial figure of 91 units. Later adjustments don't change my view much.,anchoring_bias,Over-reliance on the first piece of information encountered,Survey Response,HR,18,99,0.576,1,2025-04-26 16:31:17
SAMPLE00122,"After hearing about a supply chain disruption, I'm convinced competitive disadvantage is very likely. The news is full of similar stories.",availability_bias,Overestimating likelihood of events based on their mental availability,Chat Message,Finance,21,138,0.554,1,2025-04-01 16:31:17
SAMPLE00123,"The data shows an anomaly, though we should consider different perspectives. More analysis is needed to draw conclusions.",neutral,Balanced reasoning without evident cognitive bias,Meeting Note,Sales,18,121,0.486,0,2025-05-31 16:31:17
SAMPLE00124,"The initial estimate was 390 units, so I think $460k is reasonable even though new data suggests $640k.",anchoring_bias,Over-reliance on the first piece of information encountered,Email,Marketing,18,103,0.927,1,2025-09-21 16:31:17
SAMPLE00125,This research validates what I already knew: experience beats credentials. Other studies are probably flawed.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Survey Response,HR,15,109,0.417,1,2024-11-29 16:31:17
SAMPLE00126,"After putting in countless hours, we have to see it through despite market resistance. We're too far in to stop.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Email,Finance,20,112,0.663,1,2025-08-20 16:31:17
SAMPLE00127,I knew stabilize would happen because the latest report. This just proves what I've always believed about market trends.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Meeting Note,Finance,19,120,0.55,1,2025-04-02 16:31:17
SAMPLE00128,"Looking back, the acquisition was inevitable. I'm surprised others didn't see it coming.",hindsight_bias,Believing past events were more predictable than they actually were,Chat Message,Product,13,88,0.57,1,2025-05-18 16:31:17
SAMPLE00129,"The last year showed growth, so I expect that pattern to continue despite historical averages.",recency_bias,Giving more weight to recent events than historical data,Email,Finance,15,94,0.739,1,2025-04-29 16:31:17
SAMPLE00130,"All the experts are recommending customer-centric design, so I'll follow their lead. They can't all be wrong.",bandwagon_effect,Adopting beliefs because many others hold them,Chat Message,HR,17,109,0.792,1,2025-01-21 16:31:17
SAMPLE00131,"The initial estimate was 355 units, so I think $291k is reasonable even though new data suggests $489k.",anchoring_bias,Over-reliance on the first piece of information encountered,Chat Message,Marketing,18,103,0.757,1,2025-06-21 16:31:17
SAMPLE00132,"Given how much major effort we've already used, we should keep going even if cutting losses makes more sense.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Email,HR,19,109,0.842,1,2025-04-01 16:31:17
SAMPLE00133,"Given how much major effort we've already used, we should keep going even if trying something different makes more sense.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Email,Strategy,20,121,0.963,1,2025-07-26 16:31:17
SAMPLE00134,"We've already invested $408k in this project, so we need to continue even though the market has shifted.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Email,Engineering,18,104,0.794,1,2025-04-01 16:31:17
SAMPLE00135,"The last 6 months showed decline, so I expect that pattern to continue despite historical benchmarks.",recency_bias,Giving more weight to recent events than historical data,Decision Memo,Strategy,16,101,0.593,1,2025-03-17 16:31:17
SAMPLE00136,"I saw a failure on social media today, which makes me think we need to pivot quickly. It's clearly a widespread problem.",availability_bias,Overestimating likelihood of events based on their mental availability,Email,HR,22,120,0.821,1,2025-08-12 16:31:17
